time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450900000	11.7013	21.0661	4.9249	3.10649	0.555037	lidar	2.21063	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4547	21.0525	4.94222	3.14077	0.561353	radar	1.45663	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2554	21.0417	4.82295	3.17102	0.564136	lidar	0.765812	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9835	21.0114	4.92371	3.20588	0.569977	radar	4.49925	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7902	20.9707	4.79323	3.24182	0.577177	lidar	0.803655	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5091	20.9783	4.77924	3.25581	0.56018	radar	11.3257	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2309	20.9983	4.88266	3.26697	0.545594	lidar	2.59835	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.99045	20.9789	4.87014	3.28965	0.541562	radar	1.04489	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82374	20.9331	4.69723	3.3229	0.548365	lidar	1.97041	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60777	20.9119	4.51587	3.34052	0.536684	radar	2.12912	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43291	20.8588	4.41042	3.37243	0.541925	lidar	0.72748	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.23475	20.8077	4.4125	3.40093	0.544421	radar	1.79186	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.92317	20.7747	4.63104	3.41112	0.528275	lidar	3.27252	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.76165	20.6795	4.51943	3.45343	0.543007	radar	11.3092	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.45554	20.6006	4.72774	3.47284	0.534384	lidar	4.00122	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.23537	20.5189	4.73166	3.50058	0.535451	radar	0.0331998	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
